Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
57,Covered in container,Moderate (pH~5.5),Watery separation,Metal container,Strong off-odor,5-15%,Yes
42,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
65,Open air / uncovered,High (pH~4.5),Thickened,Open bowl,Strong off-odor,Oil film present,Yes
24,Covered in container,Low (pH~6.5),Clotted/curdled,Metal container,Rancid smell,>15%,Yes
20,Open air / uncovered,None,Watery separation,Open bowl,Fresh/normal,<5%,No
99,Covered in container,High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,5-15%,Yes
102,Covered in container,Moderate (pH~5.5),Mushy,Open bowl,Rancid smell,5-15%,Yes
10,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,5-15%,Yes
45,Insulated container,High (pH~4.5),Normal (smooth),Glass jar sealed,Strong off-odor,None,Yes
104,Insulated container,None,Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
84,Refrigerated (≈4°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
31,Covered in container,Moderate (pH~5.5),Mushy,Metal container,Sour fermentation smell,Oil film present,Yes
18,Insulated container,None,Clotted/curdled,Open bowl,Fresh/normal,None,No
21,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
68,Covered in container,High (pH~4.5),Thickened,Plastic box with lid,Sour fermentation smell,>15%,Yes
113,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Metal container,Rancid smell,Oil film present,Yes
87,Insulated container,Moderate (pH~5.5),Thickened,Glass jar sealed,Fresh/normal,>15%,Yes
59,Covered in container,High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,5-15%,Yes
40,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
54,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
48,Insulated container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,5-15%,Yes
92,Insulated container,High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
109,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
18,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
73,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
112,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
112,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Strong off-odor,>15%,Yes
26,Room temperature (≈25°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
69,Open air / uncovered,High (pH~4.5),Mushy,Metal container,Rancid smell,>15%,Yes
108,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Open bowl,Strong off-odor,Oil film present,Yes
87,Refrigerated (≈4°C),Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,5-15%,Yes
57,Covered in container,High (pH~4.5),Mushy,Glass jar sealed,Strong off-odor,Oil film present,Yes
81,Room temperature (≈25°C),High (pH~4.5),Watery separation,Metal container,Strong off-odor,None,Yes
53,Room temperature (≈25°C),Low (pH~6.5),Thickened,Open bowl,Fresh/normal,Oil film present,Yes
30,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
42,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
14,Open air / uncovered,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
27,Covered in container,None,Thickened,Glass jar sealed,Fresh/normal,None,No
49,Refrigerated (≈4°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
66,Insulated container,Low (pH~6.5),Thickened,Thermal flask,Slight off-smell,Oil film present,Yes
42,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Slight off-smell,None,No
22,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,Oil film present,No
100,Insulated container,Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,5-15%,Yes
94,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,5-15%,Yes
1,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
29,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
100,Covered in container,Moderate (pH~5.5),Mushy,Metal container,Fresh/normal,>15%,Yes
23,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Slight off-smell,Oil film present,Yes
22,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
81,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Slight off-smell,None,No
3,Room temperature (≈25°C),Low (pH~6.5),Thickened,Metal container,Fresh/normal,None,No
46,Refrigerated (≈4°C),High (pH~4.5),Watery separation,Plastic box with lid,Strong off-odor,Oil film present,Yes
102,Covered in container,High (pH~4.5),Thickened,Thermal flask,Rancid smell,Oil film present,Yes
111,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Sour fermentation smell,5-15%,Yes
19,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
70,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,>15%,Yes
47,Open air / uncovered,None,Thickened,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
78,Insulated container,None,Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
84,Open air / uncovered,High (pH~4.5),Mushy,Plastic box with lid,Sour fermentation smell,>15%,Yes
100,Open air / uncovered,High (pH~4.5),Clotted/curdled,Thermal flask,Rancid smell,<5%,Yes
39,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
73,Room temperature (≈25°C),High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
107,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,5-15%,Yes
39,Insulated container,Low (pH~6.5),Clotted/curdled,Thermal flask,Slight off-smell,5-15%,Yes
86,Warm environment (≈35°C),High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,Oil film present,Yes
61,Insulated container,High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,>15%,Yes
106,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
33,Insulated container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
79,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
68,Insulated container,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
45,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
48,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,5-15%,Yes
102,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
34,Room temperature (≈25°C),Low (pH~6.5),Thickened,Open bowl,Fresh/normal,None,No
21,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Rancid smell,None,No
6,Room temperature (≈25°C),High (pH~4.5),Mushy,Glass jar sealed,Rancid smell,>15%,Yes
104,Open air / uncovered,Moderate (pH~5.5),Watery separation,Glass jar sealed,Rancid smell,Oil film present,Yes
1,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
78,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
13,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,>15%,No
106,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
70,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
7,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Rancid smell,None,No
26,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Metal container,Sour fermentation smell,Oil film present,Yes
92,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,None,Yes
37,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,5-15%,No
16,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Thermal flask,Rancid smell,Oil film present,Yes
78,Covered in container,High (pH~4.5),Watery separation,Thermal flask,Slight off-smell,5-15%,Yes
53,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Rancid smell,>15%,Yes
115,Open air / uncovered,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,Oil film present,Yes
19,Open air / uncovered,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
63,Room temperature (≈25°C),High (pH~4.5),Thickened,Open bowl,Strong off-odor,Oil film present,Yes
117,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Thermal flask,Rancid smell,Oil film present,Yes
112,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Slight off-smell,Oil film present,Yes
37,Refrigerated (≈4°C),High (pH~4.5),Normal (smooth),Open bowl,Slight off-smell,5-15%,No
98,Covered in container,Low (pH~6.5),Clotted/curdled,Metal container,Slight off-smell,Oil film present,Yes
99,Open air / uncovered,Moderate (pH~5.5),Watery separation,Thermal flask,Rancid smell,>15%,Yes
46,Open air / uncovered,None,Normal (smooth),Open bowl,Fresh/normal,None,No
18,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Strong off-odor,None,No
111,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,>15%,Yes
9,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
54,Covered in container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Strong off-odor,<5%,Yes
23,Room temperature (≈25°C),Low (pH~6.5),Mushy,Thermal flask,Rancid smell,Oil film present,Yes
22,Covered in container,Moderate (pH~5.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
74,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
74,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Rancid smell,>15%,Yes
36,Open air / uncovered,None,Thickened,Metal container,Fresh/normal,<5%,No
65,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
82,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,None,No
112,Insulated container,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Rancid smell,>15%,Yes
64,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
83,Insulated container,Moderate (pH~5.5),Normal (smooth),Thermal flask,Strong off-odor,>15%,Yes
109,Insulated container,Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
118,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Metal container,Slight off-smell,>15%,Yes
118,Open air / uncovered,High (pH~4.5),Normal (smooth),Thermal flask,Slight off-smell,Oil film present,Yes
20,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,5-15%,No
2,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,None,No
45,Insulated container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
77,Insulated container,Moderate (pH~5.5),Mushy,Thermal flask,Sour fermentation smell,5-15%,Yes
77,Covered in container,High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
86,Insulated container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Slight off-smell,<5%,Yes
69,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
36,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Plastic box with lid,Strong off-odor,5-15%,Yes
89,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
64,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Metal container,Sour fermentation smell,>15%,Yes
38,Covered in container,High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
55,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Slight off-smell,>15%,Yes
101,Covered in container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Slight off-smell,>15%,Yes
108,Covered in container,Low (pH~6.5),Normal (smooth),Glass jar sealed,Slight off-smell,None,No
17,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
70,Insulated container,Low (pH~6.5),Watery separation,Metal container,Sour fermentation smell,>15%,Yes
1,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
19,Warm environment (≈35°C),Low (pH~6.5),Watery separation,Plastic box with lid,Rancid smell,5-15%,Yes
23,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
65,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Slight off-smell,None,No
36,Open air / uncovered,Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,5-15%,Yes
9,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,None,No
31,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
119,Open air / uncovered,Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,Oil film present,Yes
72,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,>15%,Yes
21,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
110,Insulated container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Slight off-smell,Oil film present,Yes
36,Open air / uncovered,High (pH~4.5),Clotted/curdled,Metal container,Fresh/normal,>15%,Yes
65,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Slight off-smell,None,No
3,Covered in container,Low (pH~6.5),Normal (smooth),Metal container,Slight off-smell,None,No
47,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Open bowl,Rancid smell,>15%,Yes
64,Insulated container,None,Normal (smooth),Thermal flask,Rancid smell,<5%,No
21,Covered in container,None,Normal (smooth),Glass jar sealed,Strong off-odor,None,No
5,Room temperature (≈25°C),High (pH~4.5),Normal (smooth),Metal container,Fresh/normal,None,No
69,Insulated container,High (pH~4.5),Clotted/curdled,Open bowl,Sour fermentation smell,>15%,Yes
116,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Open bowl,Rancid smell,>15%,Yes
85,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
9,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,5-15%,Yes
60,Warm environment (≈35°C),High (pH~4.5),Mushy,Metal container,Rancid smell,>15%,Yes
102,Covered in container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,>15%,Yes
112,Open air / uncovered,High (pH~4.5),Thickened,Thermal flask,Strong off-odor,<5%,Yes
13,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,Oil film present,Yes
110,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
94,Insulated container,High (pH~4.5),Watery separation,Thermal flask,Strong off-odor,5-15%,Yes
53,Room temperature (≈25°C),None,Thickened,Plastic box with lid,Fresh/normal,5-15%,No
73,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Plastic box with lid,Strong off-odor,5-15%,Yes
75,Open air / uncovered,Moderate (pH~5.5),Mushy,Metal container,Strong off-odor,5-15%,Yes
73,Open air / uncovered,Moderate (pH~5.5),Watery separation,Open bowl,Sour fermentation smell,5-15%,Yes
19,Insulated container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
109,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,<5%,Yes
89,Insulated container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,<5%,Yes
92,Refrigerated (≈4°C),None,Watery separation,Plastic box with lid,Fresh/normal,None,No
21,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,<5%,No
88,Covered in container,High (pH~4.5),Mushy,Thermal flask,Sour fermentation smell,<5%,Yes
84,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
53,Refrigerated (≈4°C),None,Thickened,Thermal flask,Fresh/normal,None,No
98,Insulated container,None,Watery separation,Plastic box with lid,Fresh/normal,<5%,No
34,Insulated container,None,Watery separation,Thermal flask,Slight off-smell,None,No
33,Open air / uncovered,Low (pH~6.5),Thickened,Open bowl,Rancid smell,>15%,Yes
24,Insulated container,Moderate (pH~5.5),Normal (smooth),Open bowl,Sour fermentation smell,5-15%,Yes
85,Open air / uncovered,High (pH~4.5),Mushy,Metal container,Sour fermentation smell,>15%,Yes
36,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Strong off-odor,Oil film present,Yes
3,Open air / uncovered,Low (pH~6.5),Normal (smooth),Metal container,Slight off-smell,None,No
84,Covered in container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
72,Room temperature (≈25°C),High (pH~4.5),Watery separation,Metal container,Slight off-smell,>15%,Yes
18,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Sour fermentation smell,5-15%,Yes
